FileName,QType,RobotRadius,Epsilon,StartX,StartY,EndX,EndY,PathFound,TimeElapsed,DistanceTraveled,MinimumClearnace,NumExpansions,FreeBoxesCount,StuckBoxCount,MixBelowEpsilonCount,MixAboveEpsilonCount
input300.txt,0,11,3,10,400,350,20,0,207.93,-1,-1,4576,2364,7168,4194,-1,
input300.txt,0,11,3,10,400,350,20,0,221.927,-1,-1,4576,2364,7168,4194,-1,
input300.txt,0,11,3,10,400,350,20,0,200.528,-1,-1,4576,2364,7168,4194,-1,
input300.txt,0,11,3,10,400,350,20,0,197.772,-1,-1,4576,2364,7168,4194,-1,
input300.txt,0,11,3,10,400,350,20,0,196.778,-1,-1,4576,2364,7168,4194,-1,
input300.txt,0,11,3,10,400,350,20,0,197.888,-1,-1,4576,2364,7168,4194,-1,
input300.txt,0,11,3,10,400,350,20,0,200.896,-1,-1,4576,2364,7168,4194,-1,
input300.txt,0,11,3,10,400,350,20,0,201.747,-1,-1,4576,2364,7168,4194,-1,
input300.txt,0,11,3,10,400,350,20,0,199.888,-1,-1,4576,2364,7168,4194,-1,
input300.txt,0,11,3,10,400,350,20,0,204.499,-1,-1,4576,2364,7168,4194,-1,
input300.txt,0,11,3,10,400,350,20,0,198.815,-1,-1,4576,2364,7168,4194,-1,
input300.txt,1,11,3,10,400,350,20,0,124.376,-1,-1,4576,2364,7168,4194,-1,
input300.txt,1,11,3,10,400,350,20,0,122.296,-1,-1,4576,2364,7168,4194,-1,
input300.txt,1,11,3,10,400,350,20,0,123.895,-1,-1,4576,2364,7168,4194,-1,
input300.txt,1,11,3,10,400,350,20,0,123.471,-1,-1,4576,2364,7168,4194,-1,
input300.txt,1,11,3,10,400,350,20,0,124.781,-1,-1,4576,2364,7168,4194,-1,
input300.txt,1,11,3,10,400,350,20,0,121.689,-1,-1,4576,2364,7168,4194,-1,
input300.txt,1,11,3,10,400,350,20,0,128.856,-1,-1,4576,2364,7168,4194,-1,
input300.txt,1,11,3,10,400,350,20,0,129.412,-1,-1,4576,2364,7168,4194,-1,
input300.txt,1,11,3,10,400,350,20,0,124.623,-1,-1,4576,2364,7168,4194,-1,
input300.txt,1,11,3,10,400,350,20,0,134.136,-1,-1,4576,2364,7168,4194,-1,
input300.txt,1,11,3,10,400,350,20,0,125.859,-1,-1,4576,2364,7168,4194,-1,
input300.txt,2,11,3,10,400,350,20,0,43.656,-1,-1,384,406,200,465,126,
input300.txt,2,11,3,10,400,350,20,0,43.743,-1,-1,384,406,200,465,126,
input300.txt,2,11,3,10,400,350,20,0,43.968,-1,-1,384,406,200,465,126,
input300.txt,2,11,3,10,400,350,20,0,51.688,-1,-1,384,406,200,465,126,
input300.txt,2,11,3,10,400,350,20,0,44.96,-1,-1,384,406,200,465,126,
input300.txt,2,11,3,10,400,350,20,0,51.046,-1,-1,384,406,200,465,126,
input300.txt,2,11,3,10,400,350,20,0,43.763,-1,-1,384,406,200,465,126,
input300.txt,2,11,3,10,400,350,20,0,44.997,-1,-1,384,406,200,465,126,
input300.txt,2,11,3,10,400,350,20,0,43.511,-1,-1,384,406,200,465,126,
input300.txt,2,11,3,10,400,350,20,0,43.496,-1,-1,384,406,200,465,126,
input300.txt,2,11,3,10,400,350,20,0,43.262,-1,-1,384,406,200,465,126,
input300.txt,3,11,3,10,400,350,20,0,125.162,-1,-1,4576,2364,7168,4194,-1,
input300.txt,3,11,3,10,400,350,20,0,129.093,-1,-1,4576,2364,7168,4194,-1,
input300.txt,3,11,3,10,400,350,20,0,129.645,-1,-1,4576,2364,7168,4194,-1,
input300.txt,3,11,3,10,400,350,20,0,127.039,-1,-1,4576,2364,7168,4194,-1,
input300.txt,3,11,3,10,400,350,20,0,127.521,-1,-1,4576,2364,7168,4194,-1,
input300.txt,3,11,3,10,400,350,20,0,133.292,-1,-1,4576,2364,7168,4194,-1,
input300.txt,3,11,3,10,400,350,20,0,126.353,-1,-1,4576,2364,7168,4194,-1,
input300.txt,3,11,3,10,400,350,20,0,126.3,-1,-1,4576,2364,7168,4194,-1,
input300.txt,3,11,3,10,400,350,20,0,131.471,-1,-1,4576,2364,7168,4194,-1,
input300.txt,3,11,3,10,400,350,20,0,132.761,-1,-1,4576,2364,7168,4194,-1,
input300.txt,3,11,3,10,400,350,20,0,130.26,-1,-1,4576,2364,7168,4194,-1,
