FileName,QType,RobotRadius,Epsilon,StartX,StartY,EndX,EndY,PathFound,TimeElapsed,DistanceTraveled,MinimumClearnace,NumExpansions,FreeBoxesCount,StuckBoxCount,MixBelowEpsilonCount,MixAboveEpsilonCount
input0.txt,0,20,10,400,400,200,200,0,7.221,-1,-1,211,202,209,220,-1,
input0.txt,0,20,10,400,400,200,200,0,9.546,-1,-1,211,202,209,220,-1,
input0.txt,0,20,10,400,400,200,200,0,5.87,-1,-1,211,202,209,220,-1,
input0.txt,0,20,10,400,400,200,200,0,7.097,-1,-1,211,202,209,220,-1,
input0.txt,0,20,10,400,400,200,200,0,7.444,-1,-1,211,202,209,220,-1,
input0.txt,0,20,10,400,400,200,200,0,5.538,-1,-1,211,202,209,220,-1,
input0.txt,0,20,10,400,400,200,200,0,5.724,-1,-1,211,202,209,220,-1,
input0.txt,0,20,10,400,400,200,200,0,7.439,-1,-1,211,202,209,220,-1,
input0.txt,0,20,10,400,400,200,200,0,5.248,-1,-1,211,202,209,220,-1,
input0.txt,0,20,10,400,400,200,200,0,5.994,-1,-1,211,202,209,220,-1,
input0.txt,0,20,10,400,400,200,200,0,6.181,-1,-1,211,202,209,220,-1,
input0.txt,1,20,10,400,400,200,200,0,7.369,-1,-1,211,202,209,220,-1,
input0.txt,1,20,10,400,400,200,200,0,5.384,-1,-1,211,202,209,220,-1,
input0.txt,1,20,10,400,400,200,200,0,5.955,-1,-1,211,202,209,220,-1,
input0.txt,1,20,10,400,400,200,200,0,6,-1,-1,211,202,209,220,-1,
input0.txt,1,20,10,400,400,200,200,0,5.455,-1,-1,211,202,209,220,-1,
input0.txt,1,20,10,400,400,200,200,0,5.964,-1,-1,211,202,209,220,-1,
input0.txt,1,20,10,400,400,200,200,0,6.022,-1,-1,211,202,209,220,-1,
input0.txt,1,20,10,400,400,200,200,0,5.601,-1,-1,211,202,209,220,-1,
input0.txt,1,20,10,400,400,200,200,0,5.947,-1,-1,211,202,209,220,-1,
input0.txt,1,20,10,400,400,200,200,0,5.943,-1,-1,211,202,209,220,-1,
input0.txt,1,20,10,400,400,200,200,0,5.777,-1,-1,211,202,209,220,-1,
input0.txt,2,20,10,400,400,200,200,0,4.797,-1,-1,109,169,25,122,36,
input0.txt,2,20,10,400,400,200,200,0,5.088,-1,-1,109,169,25,122,36,
input0.txt,2,20,10,400,400,200,200,0,6.105,-1,-1,109,169,25,122,36,
input0.txt,2,20,10,400,400,200,200,0,4.879,-1,-1,109,169,25,122,36,
input0.txt,2,20,10,400,400,200,200,0,7.138,-1,-1,109,169,25,122,36,
input0.txt,2,20,10,400,400,200,200,0,5.427,-1,-1,109,169,25,122,36,
input0.txt,2,20,10,400,400,200,200,0,6.027,-1,-1,109,169,25,122,36,
input0.txt,2,20,10,400,400,200,200,0,5.318,-1,-1,109,169,25,122,36,
input0.txt,2,20,10,400,400,200,200,0,5.244,-1,-1,109,169,25,122,36,
input0.txt,2,20,10,400,400,200,200,0,6.085,-1,-1,109,169,25,122,36,
input0.txt,2,20,10,400,400,200,200,0,5.731,-1,-1,109,169,25,122,36,
input0.txt,3,20,10,400,400,200,200,0,7.403,-1,-1,211,202,209,220,-1,
input0.txt,3,20,10,400,400,200,200,0,8.197,-1,-1,211,202,209,220,-1,
input0.txt,3,20,10,400,400,200,200,0,7.822,-1,-1,211,202,209,220,-1,
input0.txt,3,20,10,400,400,200,200,0,7.512,-1,-1,211,202,209,220,-1,
input0.txt,3,20,10,400,400,200,200,0,6.012,-1,-1,211,202,209,220,-1,
input0.txt,3,20,10,400,400,200,200,0,5.675,-1,-1,211,202,209,220,-1,
input0.txt,3,20,10,400,400,200,200,0,5.663,-1,-1,211,202,209,220,-1,
input0.txt,3,20,10,400,400,200,200,0,6.508,-1,-1,211,202,209,220,-1,
input0.txt,3,20,10,400,400,200,200,0,5.78,-1,-1,211,202,209,220,-1,
input0.txt,3,20,10,400,400,200,200,0,7.373,-1,-1,211,202,209,220,-1,
input0.txt,3,20,10,400,400,200,200,0,5.773,-1,-1,211,202,209,220,-1,
