FileName,QType,RobotRadius,Epsilon,StartX,StartY,EndX,EndY,PathFound,TimeElapsed,DistanceTraveled,MinimumClearnace,NumExpansions,FreeBoxesCount,StuckBoxCount,MixBelowEpsilonCount,MixAboveEpsilonCount
input4.txt,0,5,5,10,350,280,205,1,249.36,1172.83,7.90476,4363,2057,3855,7018,160,
input4.txt,0,5,5,10,350,280,205,1,240.165,1172.83,7.90476,4363,2057,3855,7018,160,
input4.txt,0,5,5,10,350,280,205,1,207.161,1172.83,7.90476,4363,2057,3855,7018,160,
input4.txt,0,5,5,10,350,280,205,1,191.973,1172.83,7.90476,4363,2057,3855,7018,160,
input4.txt,0,5,5,10,350,280,205,1,206.504,1172.83,7.90476,4363,2057,3855,7018,160,
input4.txt,0,5,5,10,350,280,205,1,193.942,1172.83,7.90476,4363,2057,3855,7018,160,
input4.txt,0,5,5,10,350,280,205,1,196.262,1172.83,7.90476,4363,2057,3855,7018,160,
input4.txt,0,5,5,10,350,280,205,1,198.318,1172.83,7.90476,4363,2057,3855,7018,160,
input4.txt,0,5,5,10,350,280,205,1,197.381,1172.83,7.90476,4363,2057,3855,7018,160,
input4.txt,0,5,5,10,350,280,205,1,193.953,1172.83,7.90476,4363,2057,3855,7018,160,
input4.txt,0,5,5,10,350,280,205,1,190.774,1172.83,7.90476,4363,2057,3855,7018,160,
input4.txt,1,5,5,10,350,280,205,1,34.544,1164.18,7.90476,3648,1634,2958,5350,1003,
input4.txt,1,5,5,10,350,280,205,1,32.95,1164.18,7.90476,3648,1634,2958,5350,1003,
input4.txt,1,5,5,10,350,280,205,1,36.291,1164.18,7.90476,3648,1634,2958,5350,1003,
input4.txt,1,5,5,10,350,280,205,1,33.859,1164.18,7.90476,3648,1634,2958,5350,1003,
input4.txt,1,5,5,10,350,280,205,1,32.646,1164.18,7.90476,3648,1634,2958,5350,1003,
input4.txt,1,5,5,10,350,280,205,1,32.998,1164.18,7.90476,3648,1634,2958,5350,1003,
input4.txt,1,5,5,10,350,280,205,1,41.752,1164.18,7.90476,3648,1634,2958,5350,1003,
input4.txt,1,5,5,10,350,280,205,1,58.105,1164.18,7.90476,3648,1634,2958,5350,1003,
input4.txt,1,5,5,10,350,280,205,1,41.566,1164.18,7.90476,3648,1634,2958,5350,1003,
input4.txt,1,5,5,10,350,280,205,1,39.828,1164.18,7.90476,3648,1634,2958,5350,1003,
input4.txt,1,5,5,10,350,280,205,1,38.95,1164.18,7.90476,3648,1634,2958,5350,1003,
input4.txt,2,5,5,10,350,280,205,1,31.926,1164.18,7.90476,1678,1555,315,2160,1049,
input4.txt,2,5,5,10,350,280,205,1,30.207,1164.18,7.90476,1678,1555,315,2160,1049,
input4.txt,2,5,5,10,350,280,205,1,27.884,1164.18,7.90476,1678,1555,315,2160,1049,
input4.txt,2,5,5,10,350,280,205,1,27.719,1164.18,7.90476,1678,1555,315,2160,1049,
input4.txt,2,5,5,10,350,280,205,1,29.246,1164.18,7.90476,1678,1555,315,2160,1049,
input4.txt,2,5,5,10,350,280,205,1,31.079,1164.18,7.90476,1678,1555,315,2160,1049,
input4.txt,2,5,5,10,350,280,205,1,29.494,1164.18,7.90476,1678,1555,315,2160,1049,
input4.txt,2,5,5,10,350,280,205,1,31.82,1164.18,7.90476,1678,1555,315,2160,1049,
input4.txt,2,5,5,10,350,280,205,1,24.818,1164.18,7.90476,1678,1555,315,2160,1049,
input4.txt,2,5,5,10,350,280,205,1,30.433,1164.18,7.90476,1678,1555,315,2160,1049,
input4.txt,2,5,5,10,350,280,205,1,26.392,1164.18,7.90476,1678,1555,315,2160,1049,
input4.txt,3,5,5,10,350,280,205,1,35.204,1164.18,7.90476,4184,2074,3537,6501,441,
input4.txt,3,5,5,10,350,280,205,1,40.969,1164.18,7.90476,4184,2074,3537,6501,441,
input4.txt,3,5,5,10,350,280,205,1,34.725,1164.18,7.90476,4184,2074,3537,6501,441,
input4.txt,3,5,5,10,350,280,205,1,38.328,1164.18,7.90476,4184,2074,3537,6501,441,
input4.txt,3,5,5,10,350,280,205,1,42.725,1164.18,7.90476,4184,2074,3537,6501,441,
input4.txt,3,5,5,10,350,280,205,1,35.305,1164.18,7.90476,4184,2074,3537,6501,441,
input4.txt,3,5,5,10,350,280,205,1,34.235,1164.18,7.90476,4184,2074,3537,6501,441,
input4.txt,3,5,5,10,350,280,205,1,47.791,1164.18,7.90476,4184,2074,3537,6501,441,
input4.txt,3,5,5,10,350,280,205,1,45.703,1164.18,7.90476,4184,2074,3537,6501,441,
input4.txt,3,5,5,10,350,280,205,1,39.037,1164.18,7.90476,4184,2074,3537,6501,441,
input4.txt,3,5,5,10,350,280,205,1,44.353,1164.18,7.90476,4184,2074,3537,6501,441,
